assetid,assettype,status,latitude,longitude,zone,route,tripdate,hour,distancekm,durationminutes,batterypct,demandindex,ridership
MOB-039,Shuttle,Maintenance,4.64673,-74.045826,Universidad,R-4,2026-07-11,12,12.7,13,68,59,76
MOB-040,Scooter,Active,4.677533,-74.078988,Mercado,R-5,2026-07-12,13,7.4,13,40,60,43
MOB-041,Bike,Charging,4.674439,-74.047525,Centro,R-6,2026-07-13,14,7.8,22,77,71,24
MOB-042,Shuttle,Maintenance,4.653724,-74.101514,San Miguel,R-7,2026-07-14,15,10.6,51,43,67,55
MOB-043,Scooter,Active,4.632236,-74.039945,La Esperanza,R-1,2026-07-01,16,7.4,45,21,72,44
MOB-044,Bike,Charging,4.605979,-74.02959,Universidad,R-2,2026-07-02,17,12,28,37,88,40
MOB-045,Shuttle,Maintenance,4.658099,-74.08379,Mercado,R-3,2026-07-03,18,12.1,25,68,85,52
MOB-046,Scooter,Active,4.592351,-74.084726,Centro,R-4,2026-07-04,19,14.7,8,99,66,37
MOB-047,Bike,Charging,4.636424,-74.136912,San Miguel,R-5,2026-07-05,20,14.9,56,77,93,12
MOB-048,Shuttle,Maintenance,4.606795,-74.136975,La Esperanza,R-6,2026-07-06,21,14.7,43,38,57,51
MOB-049,Scooter,Active,4.604238,-74.119656,Universidad,R-7,2026-07-07,6,11.1,15,53,92,5
MOB-050,Bike,Charging,4.619701,-74.12719,Mercado,R-1,2026-07-08,7,13.5,54,28,51,4
MOB-051,Shuttle,Maintenance,4.62195,-74.040268,Centro,R-2,2026-07-09,8,1.9,14,47,68,68
MOB-052,Scooter,Active,4.639471,-74.12966,San Miguel,R-3,2026-07-10,9,9.6,31,81,65,41
MOB-053,Bike,Charging,4.669491,-74.083114,La Esperanza,R-4,2026-07-11,10,10.3,18,99,74,21
MOB-054,Shuttle,Maintenance,4.616169,-74.076519,Universidad,R-5,2026-07-12,11,6.9,44,28,73,76
MOB-055,Scooter,Active,4.65749,-74.080012,Mercado,R-6,2026-07-13,12,13.9,13,54,91,57
MOB-056,Bike,Charging,4.606192,-74.086797,Centro,R-7,2026-07-14,13,4.4,26,94,68,11
