RecordID,CaseNumber,ReportDate,MonthLabel,MonthIndex,Quarter,FiscalYear,Weekday,Department,Program,ServiceType,Category,Status,Stage,Priority,RiskBand,Region,CouncilDistrict,Neighborhood,Owner,Team,Vendor,Channel,AssetType,AssetID,Description,Latitude,Longitude,Budget,ActualCost,Variance,ProgressPct,RiskScore,ResponseHours,TargetHours,DurationDays,SatisfactionScore,WithinSLA,Overdue,OpenFlag,IncidentCount,WorkOrderCount,Quantity,AssetAge,Severity,TargetPct
HOU-0013,SR-2025-00013,2025-08-27,2025-08 Aug,202508,Q3 2025,FY2026,Wednesday,Transportation,Sidewalk Access,Capital Improvement,Transportation / Sidewalk Access,Complete,Closed,Medium,High,Northeast,B,Kashmere Gardens,B. Smith,Central Team,Gulf Infrastructure,Field Inspection,Sidewalk,SID-10013,Medium sidewalk access case in Kashmere Gardens,29.785359,-95.306647,8214.62,7663.95,-550.67,100,74,37.9,48,12,4.5,Yes,No,0,1,2,16,33,3,90
HOU-0014,SR-2025-00014,2025-09-03,2025-09 Sep,202509,Q3 2025,FY2026,Wednesday,Parks & Recreation,Facility Repair,Corrective Maintenance,Parks & Recreation / Facility Repair,Complete,Closed,High,Extreme,West,F,Westchase,H. Lee,Rapid Response,Metro Field Group,Sensor Alert,Recreation Facility,REC-10014,High facility repair case in Westchase,29.723868,-95.570164,21620.23,24355.42,2735.19,100,93,8.2,12,4,4.9,Yes,No,0,1,3,5,8,4,90
HOU-0015,SR-2025-00015,2025-09-22,2025-09 Sep,202509,Q3 2025,FY2026,Monday,Emergency Management,Flood Readiness,Inspection,Emergency Management / Flood Readiness,In Progress,Field Work,Medium,Low,Southwest,J,Braeburn,G. Davis,South Team,Metro Field Group,Internal Audit,Flood Asset,FLO-10015,Medium flood readiness case in Braeburn,29.651279,-95.491713,9049.39,4242.75,-4806.64,47,32,10.0,48,12,5,Yes,Yes,1,1,1,12,31,3,90
HOU-0016,SR-2025-00016,2025-09-30,2025-09 Sep,202509,Q3 2025,FY2026,Tuesday,Public Works,Traffic Signal Support,Inspection,Public Works / Traffic Signal Support,In Progress,Field Work,Low,Moderate,Northeast,E,Kingwood,C. Garcia,Rapid Response,City Crew,311,Traffic Signal,TRA-10016,Low traffic signal support case in Kingwood,30.054685,-95.171006,7449.04,3949.78,-3499.26,57,41,22.2,96,20,3.6,Yes,Yes,1,1,1,7,21,2,90
HOU-0017,SR-2025-00017,2025-10-30,2025-10 Oct,202510,Q4 2025,FY2026,Thursday,Emergency Management,Flood Readiness,Inspection,Emergency Management / Flood Readiness,In Progress,Field Work,High,Moderate,Northeast,B,Kashmere Gardens,C. Garcia,South Team,Metro Field Group,Field Inspection,Flood Asset,FLO-10017,High flood readiness case in Kashmere Gardens,29.811678,-95.315154,11691.63,4778.15,-6913.48,46,41,9.0,12,23,4.2,Yes,Yes,1,1,1,7,25,4,90
HOU-0018,SR-2025-00018,2025-11-21,2025-11 Nov,202511,Q4 2025,FY2026,Friday,Houston Water,Water Leak Response,Emergency Repair,Houston Water / Water Leak Response,Assigned,Assignment,High,Low,West,G,Galleria,H. Lee,Central Team,Bayou Services,Sensor Alert,Water Main,WAT-10018,High water leak response case in Galleria,29.737541,-95.464367,71623.67,12113.28,-59510.39,16,27,10.4,12,16,4.0,Yes,Yes,1,1,1,12,16,4,90
HOU-0019,SR-2025-00019,2025-12-04,2025-12 Dec,202512,Q4 2025,FY2026,Thursday,Solid Waste,Fleet Support,Preventive Maintenance,Solid Waste / Fleet Support,Complete,Closed,High,High,Central,I,Downtown,F. Brown,South Team,City Crew,Operations Center,Collection Vehicle,COL-10019,High fleet support case in Downtown,29.767314,-95.360309,23068.67,24514.3,1445.63,99,78,10.4,12,18,4.1,Yes,No,0,1,2,9,36,4,90
HOU-0020,SR-2025-00020,2025-12-26,2025-12 Dec,202512,Q4 2025,FY2026,Friday,Parks & Recreation,Park Maintenance,Preventive Maintenance,Parks & Recreation / Park Maintenance,QA Review,Quality Review,Medium,Moderate,Northeast,E,Kingwood,E. Johnson,Central Team,Lone Star Operations,Operations Center,Park Facility,PAR-10020,Medium park maintenance case in Kingwood,30.045355,-95.161036,2731.31,2477.8,-253.51,81,43,78.4,48,28,3.2,No,Yes,1,1,1,4,8,3,90
HOU-0021,SR-2025-00021,2025-12-31,2025-12 Dec,202512,Q4 2025,FY2026,Wednesday,Transportation,Mobility Safety,Inspection,Transportation / Mobility Safety,Complete,Closed,Medium,Moderate,Northeast,B,Kashmere Gardens,H. Lee,Rapid Response,Bayou Services,Field Inspection,Intersection,INT-10021,Medium mobility safety case in Kashmere Gardens,29.803355,-95.31218,49204.42,55562.74,6358.32,100,57,23.5,48,7,4.4,Yes,No,0,1,1,7,31,3,90
HOU-0022,SR-2026-00022,2026-01-19,2026-01 Jan,202601,Q1 2026,FY2026,Monday,Houston Water,Lift Station Support,Inspection,Houston Water / Lift Station Support,Complete,Closed,Medium,High,Southeast,E,Clear Lake,F. Brown,Rapid Response,Bayou Services,Citizen App,Lift Station,LIF-10022,Medium lift station support case in Clear Lake,29.588842,-95.115853,55900.78,54753.78,-1147.0,100,61,32.7,48,26,4.0,Yes,No,0,1,2,12,23,3,90
HOU-0023,SR-2026-00023,2026-02-07,2026-02 Feb,202602,Q1 2026,FY2026,Saturday,Public Works,Drainage Response,Emergency Response,Public Works / Drainage Response,Complete,Closed,Low,Low,North,B,IAH Area,C. Garcia,Central Team,Bayou Services,Sensor Alert,Storm Drain,STO-10023,Low drainage response case in IAH Area,29.99474,-95.354482,29275.1,31903.52,2628.42,96,3,70.2,96,11,4.1,Yes,No,0,1,1,6,41,2,90
HOU-0024,SR-2026-00024,2026-02-13,2026-02 Feb,202602,Q1 2026,FY2026,Friday,Houston Water,Sewer Maintenance,Preventive Maintenance,Houston Water / Sewer Maintenance,In Progress,Field Work,Low,Low,West,G,Galleria,D. Patel,West Team,Bayou Services,Internal Audit,Wastewater Line,WAS-10024,Low sewer maintenance case in Galleria,29.740716,-95.45123,13297.46,7586.05,-5711.41,51,25,66.2,96,21,4.3,Yes,Yes,1,1,1,22,32,2,90
HOU-0025,SR-2026-00025,2026-03-23,2026-03 Mar,202603,Q1 2026,FY2026,Monday,Solid Waste,Collection Service,Customer Service,Solid Waste / Collection Service,In Progress,Field Work,Medium,Low,Northwest,C,The Heights,I. Wilson,West Team,Lone Star Operations,Citizen App,Collection Route,COL-10025,Medium collection service case in The Heights,29.790845,-95.411573,22383.57,13907.07,-8476.5,62,13,84.6,48,12,2.8,No,Yes,1,1,1,3,33,3,90
HOU-0026,SR-2026-00026,2026-04-09,2026-04 Apr,202604,Q2 2026,FY2026,Thursday,Solid Waste,Illegal Dumping,Enforcement,Solid Waste / Illegal Dumping,New,Triage,Medium,Moderate,Central,D,Midtown,I. Wilson,South Team,City Crew,Sensor Alert,Dumping Site,DUM-10026,Medium illegal dumping case in Midtown,29.747746,-95.364368,11773.43,1104.96,-10668.47,4,39,34.6,48,26,3.8,Yes,Yes,1,1,1,9,37,3,90
HOU-0027,SR-2026-00027,2026-04-28,2026-04 Apr,202604,Q2 2026,FY2026,Tuesday,Solid Waste,Illegal Dumping,Enforcement,Solid Waste / Illegal Dumping,QA Review,Quality Review,Critical,Extreme,Southeast,E,Clear Lake,A. Nguyen,West Team,Bayou Services,Operations Center,Dumping Site,DUM-10027,Critical illegal dumping case in Clear Lake,29.584896,-95.129719,52733.38,41554.05,-11179.33,75,98,2.6,4,9,4.7,Yes,Yes,1,1,3,7,16,5,90
HOU-0028,SR-2026-00028,2026-05-03,2026-05 May,202605,Q2 2026,FY2026,Sunday,Public Works,Traffic Signal Support,Inspection,Public Works / Traffic Signal Support,Complete,Closed,Medium,Moderate,West,G,Memorial,E. Johnson,West Team,City Crew,311,Traffic Signal,TRA-10028,Medium traffic signal support case in Memorial,29.758003,-95.496098,12947.96,14725.86,1777.9,97,40,83.3,48,21,3.4,No,No,0,1,1,9,14,3,90
HOU-0029,SR-2026-00029,2026-05-24,2026-05 May,202605,Q2 2026,FY2026,Sunday,Public Works,Street Repair,Corrective Maintenance,Public Works / Street Repair,New,Triage,Low,Low,Southeast,D,Third Ward,D. Patel,South Team,Bayou Services,311,Street Segment,STR-10029,Low street repair case in Third Ward,29.707983,-95.36779,13218.12,1326.82,-11891.3,0,29,68.8,96,14,4.5,Yes,Yes,1,1,1,3,23,2,90
HOU-0030,SR-2026-00030,2026-05-31,2026-05 May,202605,Q2 2026,FY2026,Sunday,Public Works,Street Repair,Corrective Maintenance,Public Works / Street Repair,Assigned,Assignment,Medium,High,Central,C,Montrose,E. Johnson,Rapid Response,City Crew,Operations Center,Street Segment,STR-10030,Medium street repair case in Montrose,29.752817,-95.405557,35225.21,4968.02,-30257.19,14,61,27.7,48,9,3.1,Yes,Yes,1,1,2,4,25,3,90
HOU-0031,SR-2025-00031,2025-01-05,2025-01 Jan,202501,Q1 2025,FY2025,Sunday,Houston Water,Lift Station Support,Inspection,Houston Water / Lift Station Support,Complete,Closed,Low,Moderate,South,D,Sunnyside,A. Nguyen,North Team,Gulf Infrastructure,Citizen App,Lift Station,LIF-10031,Low lift station support case in Sunnyside,29.646783,-95.372514,15140.76,16220.37,1079.61,95,50,61.0,96,24,5.0,Yes,No,0,1,1,8,17,2,90
HOU-0032,SR-2025-00032,2025-01-22,2025-01 Jan,202501,Q1 2025,FY2025,Wednesday,Solid Waste,Illegal Dumping,Enforcement,Solid Waste / Illegal Dumping,Complete,Closed,Low,Low,South,D,Sunnyside,J. Martinez,North Team,Metro Field Group,Internal Audit,Dumping Site,DUM-10032,Low illegal dumping case in Sunnyside,29.670563,-95.387161,3352.39,2980.69,-371.7,100,23,226.5,96,33,3.3,No,No,0,1,1,6,43,2,90
HOU-0033,SR-2025-00033,2025-02-01,2025-02 Feb,202502,Q1 2025,FY2025,Saturday,Parks & Recreation,Park Maintenance,Preventive Maintenance,Parks & Recreation / Park Maintenance,In Progress,Field Work,Medium,Moderate,North,B,IAH Area,E. Johnson,North Team,Bayou Services,Citizen App,Park Facility,PAR-10033,Medium park maintenance case in IAH Area,29.990886,-95.326188,12470.4,7139.7,-5330.7,60,50,42.9,48,16,3.8,Yes,Yes,1,1,1,20,28,3,90
HOU-0034,SR-2025-00034,2025-02-24,2025-02 Feb,202502,Q1 2025,FY2025,Monday,Parks & Recreation,Tree Care,Inspection,Parks & Recreation / Tree Care,In Progress,Field Work,Critical,Extreme,Central,D,Midtown,D. Patel,South Team,Metro Field Group,Citizen App,Urban Tree,URB-10034,Critical tree care case in Midtown,29.749906,-95.362043,40896.27,25946.31,-14949.96,60,100,4.1,4,9,2.9,No,Yes,1,1,3,10,50,5,90
HOU-0035,SR-2025-00035,2025-02-19,2025-02 Feb,202502,Q1 2025,FY2025,Wednesday,Public Works,Street Repair,Corrective Maintenance,Public Works / Street Repair,In Progress,Field Work,Low,Moderate,Southwest,F,Alief,C. Garcia,North Team,Gulf Infrastructure,311,Street Segment,STR-10035,Low street repair case in Alief,29.684321,-95.603141,12904.69,5744.89,-7159.8,50,57,125.0,96,19,2.7,No,Yes,1,1,1,4,51,2,90
HOU-0036,SR-2025-00036,2025-03-26,2025-03 Mar,202503,Q1 2025,FY2025,Wednesday,Solid Waste,Illegal Dumping,Enforcement,Solid Waste / Illegal Dumping,QA Review,Quality Review,Medium,Extreme,East,H,East End,C. Garcia,Rapid Response,Bayou Services,Field Inspection,Dumping Site,DUM-10036,Medium illegal dumping case in East End,29.743094,-95.337369,20103.45,15491.49,-4611.96,83,86,68.7,48,18,2.1,No,Yes,1,1,3,27,23,3,90
HOU-0037,SR-2025-00037,2025-03-25,2025-03 Mar,202503,Q1 2025,FY2025,Tuesday,Transportation,Sidewalk Access,Capital Improvement,Transportation / Sidewalk Access,Complete,Closed,Medium,Low,West,G,Memorial,G. Davis,South Team,Lone Star Operations,Sensor Alert,Sidewalk,SID-10037,Medium sidewalk access case in Memorial,29.770556,-95.515918,13709.32,14032.9,323.58,100,31,54.1,48,17,3.6,No,No,0,1,1,39,31,3,90
HOU-0038,SR-2025-00038,2025-04-11,2025-04 Apr,202504,Q2 2025,FY2025,Friday,Houston Water,Water Leak Response,Emergency Repair,Houston Water / Water Leak Response,New,Triage,Medium,Moderate,Northeast,B,Kashmere Gardens,B. Smith,Rapid Response,Bayou Services,Sensor Alert,Water Main,WAT-10038,Medium water leak response case in Kashmere Gardens,29.783661,-95.311108,31496.4,3537.66,-27958.74,6,38,42.5,48,16,4.7,Yes,Yes,1,1,1,13,24,3,90
HOU-0039,SR-2025-00039,2025-05-19,2025-05 May,202505,Q2 2025,FY2025,Monday,Transportation,Signal Timing,Optimization,Transportation / Signal Timing,Complete,Closed,High,Extreme,North,B,Acres Homes,H. Lee,West Team,Bayou Services,Internal Audit,Traffic Signal,TRA-10039,High signal timing case in Acres Homes,29.878194,-95.446779,29184.87,27677.81,-1507.06,96,100,15.0,12,5,2.2,No,No,0,1,3,9,29,4,90
HOU-0040,SR-2025-00040,2025-06-03,2025-06 Jun,202506,Q2 2025,FY2025,Tuesday,Parks & Recreation,Tree Care,Inspection,Parks & Recreation / Tree Care,Assigned,Assignment,Critical,Moderate,East,H,East End,C. Garcia,Rapid Response,Metro Field Group,Internal Audit,Urban Tree,URB-10040,Critical tree care case in East End,29.757071,-95.325032,31442.74,4357.8,-27084.94,12,53,3.7,4,19,2.9,Yes,Yes,1,1,1,5,31,5,90
HOU-0041,SR-2025-00041,2025-06-22,2025-06 Jun,202506,Q2 2025,FY2025,Sunday,Houston Water,Sewer Maintenance,Preventive Maintenance,Houston Water / Sewer Maintenance,QA Review,Quality Review,Medium,High,Northwest,A,Spring Branch,E. Johnson,West Team,Bayou Services,Citizen App,Wastewater Line,WAS-10041,Medium sewer maintenance case in Spring Branch,29.79257,-95.500464,43955.49,45452.31,1496.82,90,60,32.6,48,22,4.1,Yes,Yes,1,1,2,6,23,3,90
HOU-0042,SR-2025-00042,2025-06-25,2025-06 Jun,202506,Q2 2025,FY2025,Wednesday,Parks & Recreation,Tree Care,Inspection,Parks & Recreation / Tree Care,Complete,Closed,Medium,Low,Southwest,J,Braeburn,F. Brown,North Team,Bayou Services,Field Inspection,Urban Tree,URB-10042,Medium tree care case in Braeburn,29.676995,-95.474192,11451.19,10712.53,-738.66,95,33,44.3,48,25,3.3,Yes,No,0,1,1,17,19,3,90
HOU-0043,SR-2025-00043,2025-07-21,2025-07 Jul,202507,Q3 2025,FY2026,Monday,Houston Water,Sewer Maintenance,Preventive Maintenance,Houston Water / Sewer Maintenance,QA Review,Quality Review,Medium,Moderate,Central,D,Midtown,J. Martinez,West Team,Bayou Services,Sensor Alert,Wastewater Line,WAS-10043,Medium sewer maintenance case in Midtown,29.725519,-95.363092,38795.58,28610.19,-10185.39,88,52,98.2,48,31,3.1,No,Yes,1,1,1,9,2,3,90
HOU-0044,SR-2025-00044,2025-08-14,2025-08 Aug,202508,Q3 2025,FY2026,Thursday,Houston Water,Sewer Maintenance,Preventive Maintenance,Houston Water / Sewer Maintenance,Complete,Closed,Low,Low,East,H,East End,E. Johnson,Central Team,Bayou Services,Internal Audit,Wastewater Line,WAS-10044,Low sewer maintenance case in East End,29.735508,-95.337001,8367.91,7544.4,-823.51,92,26,42.1,96,16,4.6,Yes,No,0,1,1,11,32,2,90
HOU-0045,SR-2025-00045,2025-08-31,2025-08 Aug,202508,Q3 2025,FY2026,Sunday,Transportation,Sidewalk Access,Capital Improvement,Transportation / Sidewalk Access,Complete,Closed,High,Extreme,West,G,Memorial,A. Nguyen,Central Team,Lone Star Operations,Internal Audit,Sidewalk,SID-10045,High sidewalk access case in Memorial,29.784548,-95.525505,10281.86,10113.25,-168.61,100,100,10.1,12,8,3.8,Yes,No,0,1,3,5,19,4,90
HOU-0046,SR-2025-00046,2025-09-02,2025-09 Sep,202509,Q3 2025,FY2026,Tuesday,Parks & Recreation,Facility Repair,Corrective Maintenance,Parks & Recreation / Facility Repair,Complete,Closed,Medium,Low,Southwest,F,Alief,A. Nguyen,Central Team,Bayou Services,Internal Audit,Recreation Facility,REC-10046,Medium facility repair case in Alief,29.693115,-95.602633,19428.63,18742.62,-686.01,100,33,13.1,48,12,5.0,Yes,No,0,1,1,9,24,3,90
HOU-0047,SR-2025-00047,2025-09-30,2025-09 Sep,202509,Q3 2025,FY2026,Tuesday,Emergency Management,Public Alerts,Customer Service,Emergency Management / Public Alerts,Complete,Closed,Medium,Moderate,North,H,Near Northside,D. Patel,West Team,Bayou Services,Sensor Alert,Alert Zone,ALE-10047,Medium public alerts case in Near Northside,29.796303,-95.372825,53008.37,61326.72,8318.35,100,35,25.4,48,11,4.6,Yes,No,0,1,1,6,36,3,90
HOU-0048,SR-2025-00048,2025-10-09,2025-10 Oct,202510,Q4 2025,FY2026,Thursday,Transportation,Mobility Safety,Inspection,Transportation / Mobility Safety,QA Review,Quality Review,Critical,Extreme,Northeast,E,Kingwood,J. Martinez,Rapid Response,Bayou Services,Internal Audit,Intersection,INT-10048,Critical mobility safety case in Kingwood,30.059179,-95.196631,11926.49,8929.95,-2996.54,84,100,3.2,4,16,4.7,Yes,Yes,1,1,3,7,18,5,90
HOU-0049,SR-2025-00049,2025-10-27,2025-10 Oct,202510,Q4 2025,FY2026,Monday,Solid Waste,Collection Service,Customer Service,Solid Waste / Collection Service,Complete,Closed,Medium,High,Northeast,B,Kashmere Gardens,A. Nguyen,South Team,City Crew,Internal Audit,Collection Route,COL-10049,Medium collection service case in Kashmere Gardens,29.811294,-95.313793,3800.87,3964.44,163.57,99,71,46.1,48,28,3.8,Yes,No,0,1,2,10,16,3,90
HOU-0050,SR-2025-00050,2025-11-18,2025-11 Nov,202511,Q4 2025,FY2026,Tuesday,Parks & Recreation,Park Maintenance,Preventive Maintenance,Parks & Recreation / Park Maintenance,Complete,Closed,Medium,Moderate,Northeast,E,Kingwood,E. Johnson,North Team,Gulf Infrastructure,Operations Center,Park Facility,PAR-10050,Medium park maintenance case in Kingwood,30.063331,-95.17866,24528.48,24945.69,417.21,100,43,25.3,48,20,4.1,Yes,No,0,1,1,10,36,3,90
HOU-0051,SR-2025-00051,2025-11-18,2025-11 Nov,202511,Q4 2025,FY2026,Tuesday,Parks & Recreation,Park Maintenance,Preventive Maintenance,Parks & Recreation / Park Maintenance,QA Review,Quality Review,Medium,Moderate,Southeast,D,Third Ward,A. Nguyen,Rapid Response,City Crew,Internal Audit,Park Facility,PAR-10051,Medium park maintenance case in Third Ward,29.721526,-95.370159,15557.76,14025.8,-1531.96,83,46,22.0,48,14,4.4,Yes,Yes,1,1,1,25,24,3,90
HOU-0052,SR-2025-00052,2025-12-14,2025-12 Dec,202512,Q4 2025,FY2026,Sunday,Public Works,Traffic Signal Support,Inspection,Public Works / Traffic Signal Support,New,Triage,Low,Moderate,Northeast,B,Kashmere Gardens,G. Davis,South Team,Bayou Services,Sensor Alert,Traffic Signal,TRA-10052,Low traffic signal support case in Kashmere Gardens,29.803141,-95.325748,37196.16,3909.27,-33286.89,10,38,105.1,96,22,2.3,No,Yes,1,1,1,9,44,2,90
HOU-0053,SR-2025-00053,2025-12-25,2025-12 Dec,202512,Q4 2025,FY2026,Thursday,Transportation,Signal Timing,Optimization,Transportation / Signal Timing,Complete,Closed,High,Extreme,Northeast,E,Kingwood,F. Brown,West Team,Lone Star Operations,Internal Audit,Traffic Signal,TRA-10053,High signal timing case in Kingwood,30.059436,-95.175583,26223.68,27935.1,1711.42,100,100,12.2,12,25,2.5,No,No,0,1,3,5,29,4,90
HOU-0054,SR-2026-00054,2026-01-31,2026-01 Jan,202601,Q1 2026,FY2026,Saturday,Emergency Management,Flood Readiness,Inspection,Emergency Management / Flood Readiness,New,Triage,High,Low,Southeast,E,Clear Lake,H. Lee,Central Team,City Crew,Internal Audit,Flood Asset,FLO-10054,High flood readiness case in Clear Lake,29.588624,-95.091729,65631.97,6423.85,-59208.12,8,28,8.9,12,12,4.5,Yes,Yes,1,1,1,3,18,4,90
HOU-0055,SR-2026-00055,2026-02-04,2026-02 Feb,202602,Q1 2026,FY2026,Wednesday,Emergency Management,Flood Readiness,Inspection,Emergency Management / Flood Readiness,Assigned,Assignment,Low,Low,West,G,Memorial,C. Garcia,Central Team,Metro Field Group,Internal Audit,Flood Asset,FLO-10055,Low flood readiness case in Memorial,29.783852,-95.520579,4116.62,442.45,-3674.17,10,13,79.7,96,30,4.9,Yes,Yes,1,1,1,14,15,2,90
HOU-0056,SR-2026-00056,2026-03-02,2026-03 Mar,202603,Q1 2026,FY2026,Monday,Parks & Recreation,Park Maintenance,Preventive Maintenance,Parks & Recreation / Park Maintenance,In Progress,Field Work,Medium,High,West,F,Westchase,E. Johnson,West Team,Metro Field Group,Sensor Alert,Park Facility,PAR-10056,Medium park maintenance case in Westchase,29.722496,-95.567443,16707.72,7653.96,-9053.76,53,69,40.7,48,20,4.7,Yes,Yes,1,1,2,3,17,3,90
HOU-0057,SR-2026-00057,2026-03-09,2026-03 Mar,202603,Q1 2026,FY2026,Monday,Public Works,Drainage Response,Emergency Response,Public Works / Drainage Response,Complete,Closed,Medium,Moderate,North,H,Near Northside,G. Davis,South Team,Gulf Infrastructure,Sensor Alert,Storm Drain,STO-10057,Medium drainage response case in Near Northside,29.806052,-95.363413,7193.35,7723.56,530.21,96,58,49.5,48,22,3.1,No,No,0,1,1,20,25,3,90
