record_id,initiative,category,region,department,owner,status,priority,start_date,due_date,year,quarter,month,budget_usd,actual_usd,progress_pct,risk_score,latitude,longitude
REC-0017,Invoice Automation 263,Finance,Central,Procurement,Morgan Lee,Completed,Medium,2025-12-04,2026-07-21,2026,Q3,Jul,1288992,994532,97,10,42.128528,-87.157077
REC-0018,SLA Recovery Plan 589,Compliance,Central,Operations,Morgan Lee,On Hold,Low,2025-06-19,2025-11-10,2025,Q4,Nov,829831,838880,19,73,33.415323,-84.390804
REC-0019,Workforce Planning 713,Compliance,South,Operations,Morgan Lee,Pending Review,Medium,2025-10-16,2026-03-22,2026,Q1,Mar,751406,748926,89,52,40.833953,-74.159454
REC-0020,Compliance Readiness 320,Digital,South,Legal,Jordan Smith,Pending Review,Low,2025-11-08,2026-06-02,2026,Q2,Jun,2174564,2181469,79,76,40.190105,-105.275295
REC-0021,Process Standardization 994,Operations,South,Facilities,Casey Nguyen,At Risk,Critical,2026-09-28,2026-11-08,2026,Q4,Nov,1627035,2022396,23,88,40.492126,-73.522239
REC-0022,Risk Control Review 317,Supply Chain,North,Analytics,Casey Nguyen,In Progress,High,2026-07-01,2026-10-19,2026,Q4,Oct,459897,357971,35,53,48.130476,-122.482172
REC-0023,Training Rollout 478,Compliance,Central,Legal,Nina Torres,Pending Review,Medium,2026-11-07,2027-05-07,2027,Q2,May,1205901,580418,87,44,34.251109,-118.17057
REC-0024,Compliance Readiness 309,Compliance,West,Finance,Riley Patel,In Progress,Medium,2025-08-13,2025-09-24,2025,Q3,Sep,218895,169168,37,53,40.174033,-105.4173
REC-0025,Mobile Workflow 699,Workforce,South,Operations,Taylor Brooks,On Hold,Medium,2026-05-24,2026-10-28,2026,Q4,Oct,1806376,1215238,13,60,39.86138,-104.967255
REC-0026,Facility Modernization 814,Digital,South,Facilities,Sam Rivera,In Progress,Medium,2026-07-07,2026-12-20,2026,Q4,Dec,88392,92238,27,47,25.576343,-80.595609
REC-0027,Mobile Workflow 883,Digital,East,Customer Success,Jordan Smith,Pending Review,Medium,2026-06-18,2026-11-03,2026,Q4,Nov,1808368,894278,87,43,42.118152,-88.005318
REC-0028,Procurement Cycle Reduction 598,Supply Chain,East,Operations,Avery Johnson,Completed,Medium,2026-10-12,2027-01-07,2027,Q1,Jan,1477743,1476732,93,26,41.071187,-73.907063
REC-0029,Procurement Cycle Reduction 250,Customer,South,Procurement,Taylor Brooks,Not Started,Medium,2025-08-15,2025-10-24,2025,Q4,Oct,2173342,1724383,4,58,25.216605,-80.400475
REC-0030,Invoice Automation 896,Infrastructure,East,IT,Nina Torres,Not Started,Medium,2026-03-21,2026-05-03,2026,Q2,May,2956919,1534750,8,56,39.636559,-105.452167
REC-0031,Revenue Leakage Review 544,Supply Chain,Central,Customer Success,Owen Davis,At Risk,Critical,2026-05-19,2026-08-04,2026,Q3,Aug,1761479,1330110,52,86,34.453846,-118.275509
REC-0032,SLA Recovery Plan 631,Finance,West,IT,Priya Shah,In Progress,Medium,2026-04-13,2026-11-01,2026,Q4,Nov,2687970,1546000,57,42,41.959908,-87.625328
REC-0033,SLA Recovery Plan 561,Digital,North,IT,Morgan Lee,In Progress,Medium,2025-05-10,2025-09-22,2025,Q3,Sep,1263886,976732,49,47,30.130064,-95.887582
REC-0034,Procurement Cycle Reduction 842,Compliance,South,Operations,Nina Torres,In Progress,Medium,2025-05-30,2025-12-28,2025,Q4,Dec,391163,315856,22,53,47.869503,-122.692415
REC-0035,Inventory Accuracy 118,Workforce,Central,Finance,Alex Chen,Completed,Low,2025-06-30,2025-11-15,2025,Q4,Nov,1369037,1102139,95,13,39.727505,-105.147096
REC-0036,Contract Renewal 312,Workforce,East,Finance,Nina Torres,In Progress,Critical,2025-11-03,2026-02-23,2026,Q1,Feb,620620,638021,61,71,40.899573,-73.671189
REC-0037,Workforce Planning 737,Infrastructure,South,Operations,Morgan Lee,In Progress,Medium,2026-03-11,2026-10-13,2026,Q4,Oct,2631800,2674967,66,39,41.607319,-87.764206
REC-0038,Service Response Improvement 826,Supply Chain,Central,Finance,Sam Rivera,Not Started,Low,2026-09-14,2027-01-05,2027,Q1,Jan,2393712,1280899,12,27,29.617337,-95.711459
REC-0039,Executive Reporting 379,Operations,South,Legal,Priya Shah,Pending Review,Medium,2025-12-09,2026-05-23,2026,Q2,May,3009904,2778944,89,53,26.207648,-79.78495
REC-0040,Vendor Performance 414,Customer,East,Operations,Morgan Lee,Not Started,Medium,2026-06-15,2026-07-11,2026,Q3,Jul,2449432,2140161,7,31,33.504173,-118.243132
REC-0041,Contract Renewal 846,Finance,South,Legal,Sam Rivera,At Risk,Low,2025-07-05,2025-12-12,2025,Q4,Dec,1239635,1274726,21,88,25.233265,-79.683947
REC-0042,Training Rollout 980,Compliance,West,Operations,Nina Torres,Pending Review,Low,2026-05-25,2027-02-07,2027,Q1,Feb,595070,602255,87,40,40.968913,-74.237053
REC-0043,Customer Portal Upgrade 856,Digital,West,Finance,Morgan Lee,Not Started,Medium,2025-01-12,2025-01-26,2025,Q1,Jan,1075933,735329,6,42,39.663356,-104.859346
REC-0044,Revenue Leakage Review 140,Operations,North,Analytics,Casey Nguyen,On Hold,Medium,2026-02-25,2026-04-24,2026,Q2,Apr,3303445,2227401,68,73,34.461471,-118.225735
REC-0045,Contract Renewal 301,Operations,Central,Analytics,Casey Nguyen,Completed,Low,2025-09-02,2025-10-11,2025,Q4,Oct,2676348,2079058,91,10,26.104159,-79.74481
REC-0046,Training Rollout 937,Finance,North,Analytics,Sam Rivera,Completed,Medium,2026-02-14,2026-11-22,2026,Q4,Nov,1526124,1235151,99,22,34.344562,-118.772428
REC-0047,Revenue Leakage Review 850,Operations,Central,Analytics,Priya Shah,Pending Review,Low,2025-03-05,2025-06-26,2025,Q2,Jun,2115164,1185464,71,34,39.795987,-105.298225
REC-0048,Asset Lifecycle Review 310,Supply Chain,East,Procurement,Morgan Lee,At Risk,Critical,2026-09-21,2027-01-20,2027,Q1,Jan,2368408,3370142,21,94,41.670377,-87.681981
REC-0049,Revenue Leakage Review 442,Finance,Central,HR,Morgan Lee,In Progress,Medium,2025-06-04,2025-09-01,2025,Q3,Sep,1584562,830879,69,68,42.399333,-87.813094
REC-0050,SLA Recovery Plan 903,Operations,Central,Customer Success,Riley Patel,Not Started,Medium,2026-01-13,2026-06-30,2026,Q2,Jun,1893590,1742048,4,74,25.689597,-79.686219
REC-0051,Service Response Improvement 607,Operations,West,Customer Success,Alex Chen,In Progress,Critical,2026-10-21,2027-05-13,2027,Q2,May,1855240,2127201,25,23,30.191077,-95.356313
REC-0052,Inventory Accuracy 235,Finance,East,Analytics,Jamie Kim,In Progress,High,2025-10-15,2026-06-25,2026,Q2,Jun,3149527,2083027,24,50,41.996532,-87.406445
REC-0053,Workforce Planning 221,Compliance,East,Analytics,Taylor Brooks,On Hold,Medium,2025-05-31,2025-09-01,2025,Q3,Sep,1447491,782629,44,59,30.29677,-95.191133
REC-0054,Mobile Workflow 542,Compliance,West,Customer Success,Jamie Kim,Pending Review,Medium,2025-10-06,2026-02-25,2026,Q1,Feb,3286866,1863551,93,63,33.914237,-84.658817
REC-0055,Inventory Accuracy 711,Customer,North,Analytics,Morgan Lee,Not Started,Medium,2025-12-07,2026-06-11,2026,Q2,Jun,1796574,1228480,9,50,47.159396,-122.676453
REC-0056,Workforce Planning 911,Operations,South,IT,Jordan Smith,In Progress,Medium,2026-07-08,2026-09-15,2026,Q3,Sep,337444,280222,63,60,41.669609,-87.519232
REC-0057,Customer Portal Upgrade 400,Digital,South,Analytics,Owen Davis,At Risk,Low,2026-05-27,2026-10-20,2026,Q4,Oct,936919,838772,80,91,41.91166,-87.379894
REC-0058,Mobile Workflow 232,Compliance,North,IT,Jamie Kim,In Progress,High,2025-07-16,2026-01-11,2026,Q1,Jan,593473,500214,72,61,33.611174,-84.176683
REC-0059,Data Quality Program 920,Compliance,South,Operations,Morgan Lee,In Progress,High,2025-07-04,2025-08-25,2025,Q3,Aug,927628,741186,42,94,33.951378,-118.68785
REC-0060,Asset Lifecycle Review 309,Workforce,West,Facilities,Jordan Smith,In Progress,Medium,2025-03-08,2025-04-28,2025,Q2,Apr,1763165,1152808,52,54,39.842354,-105.479192
REC-0061,Vendor Performance 185,Customer,East,Finance,Sam Rivera,In Progress,Low,2026-01-25,2026-06-15,2026,Q2,Jun,2517929,1652759,71,54,25.332837,-80.716214
REC-0062,Vendor Performance 932,Finance,East,IT,Jordan Smith,In Progress,Medium,2026-09-12,2026-11-21,2026,Q4,Nov,890435,449760,40,60,33.996587,-118.103932
REC-0063,Procurement Cycle Reduction 520,Digital,South,HR,Alex Chen,Completed,Medium,2026-06-15,2026-12-02,2026,Q4,Dec,1023704,707511,97,16,42.188055,-87.103693
REC-0064,Risk Control Review 171,Digital,West,Procurement,Alex Chen,In Progress,Medium,2025-10-13,2025-12-15,2025,Q4,Dec,627647,504428,79,46,30.200841,-95.901998
REC-0065,Contract Renewal 461,Operations,East,IT,Taylor Brooks,Completed,Low,2026-05-25,2026-07-07,2026,Q3,Jul,2363772,2264321,91,8,26.117652,-80.60254
REC-0066,Vendor Performance 273,Supply Chain,East,Operations,Taylor Brooks,In Progress,High,2025-12-01,2026-07-20,2026,Q3,Jul,2351918,1789906,58,40,40.464348,-73.988303
REC-0067,Service Response Improvement 360,Operations,South,Operations,Priya Shah,Completed,Low,2026-11-04,2027-05-26,2027,Q2,May,645540,328763,93,17,34.222774,-118.411207
REC-0068,Executive Reporting 258,Operations,North,Analytics,Owen Davis,In Progress,Low,2025-08-19,2026-05-06,2026,Q2,May,3088702,2451642,65,50,33.771741,-84.830596
REC-0069,Service Response Improvement 127,Operations,West,Finance,Jordan Smith,At Risk,High,2025-07-28,2026-03-16,2026,Q1,Mar,3414193,3177374,46,91,34.189637,-84.336646
REC-0070,Revenue Leakage Review 691,Infrastructure,North,Procurement,Jordan Smith,Completed,Medium,2026-04-03,2026-09-07,2026,Q3,Sep,2438388,1999533,96,4,47.652679,-122.822465
REC-0071,Vendor Performance 260,Infrastructure,Central,Operations,Taylor Brooks,Pending Review,Medium,2026-11-18,2027-08-09,2027,Q3,Aug,3152794,2579631,68,42,34.204401,-117.723278
REC-0072,Revenue Leakage Review 614,Finance,West,HR,Avery Johnson,In Progress,Critical,2026-07-30,2026-10-30,2026,Q4,Oct,493339,529593,64,67,33.689644,-118.771108
REC-0073,Asset Lifecycle Review 175,Supply Chain,North,IT,Avery Johnson,In Progress,Medium,2025-07-10,2025-10-04,2025,Q4,Oct,409257,347864,72,64,40.031843,-104.559083
REC-0074,Process Standardization 388,Operations,South,Facilities,Jordan Smith,Completed,High,2025-09-07,2025-12-14,2025,Q4,Dec,199978,112107,92,29,33.931955,-118.508961
REC-0075,Compliance Readiness 533,Operations,Central,IT,Morgan Lee,At Risk,Critical,2025-02-02,2025-09-04,2025,Q3,Sep,2421912,2480593,26,94,40.378365,-73.904048
REC-0076,Training Rollout 757,Digital,East,Procurement,Jordan Smith,In Progress,High,2026-01-19,2026-07-16,2026,Q3,Jul,2650109,2267186,34,68,42.276777,-87.278977
REC-0077,Data Quality Program 852,Supply Chain,West,IT,Nina Torres,Not Started,Medium,2025-11-25,2026-04-29,2026,Q2,Apr,2618126,1643330,6,67,34.095777,-118.566603
REC-0078,Revenue Leakage Review 896,Digital,East,IT,Jamie Kim,In Progress,High,2026-09-11,2027-02-18,2027,Q1,Feb,2835484,2009831,50,72,40.028223,-105.068607
REC-0079,Revenue Leakage Review 584,Customer,Central,Facilities,Jamie Kim,At Risk,High,2025-02-26,2025-09-29,2025,Q3,Sep,996364,1427616,70,98,29.51944,-95.092726
REC-0080,Asset Lifecycle Review 155,Infrastructure,South,Facilities,Owen Davis,At Risk,Low,2026-06-03,2026-07-18,2026,Q3,Jul,3153566,2924869,49,73,29.844061,-94.961407
REC-0081,Contract Renewal 504,Digital,East,Operations,Taylor Brooks,Completed,Medium,2026-02-22,2026-07-03,2026,Q3,Jul,1822660,873560,92,20,30.005985,-95.649255
REC-0082,Service Response Improvement 272,Finance,Central,Facilities,Sam Rivera,At Risk,Medium,2026-10-17,2027-05-25,2027,Q2,May,814155,924090,41,73,42.105115,-87.237722
REC-0083,Operational Cost Reduction 345,Supply Chain,South,Facilities,Priya Shah,Pending Review,Critical,2025-06-14,2025-09-11,2025,Q3,Sep,1715499,1542519,70,75,25.994017,-80.438242
REC-0084,Inventory Accuracy 682,Compliance,Central,Analytics,Avery Johnson,In Progress,Low,2026-04-26,2026-09-10,2026,Q3,Sep,338873,259728,63,38,34.404152,-118.633749
REC-0085,SLA Recovery Plan 723,Operations,East,Customer Success,Sam Rivera,Completed,Low,2026-08-29,2027-02-17,2027,Q1,Feb,3435163,3411728,95,12,47.905953,-122.54039
REC-0086,Vendor Performance 634,Infrastructure,East,Operations,Morgan Lee,Completed,Critical,2026-06-15,2026-10-03,2026,Q4,Oct,1190569,739449,95,34,33.276299,-84.668498
REC-0087,SLA Recovery Plan 971,Customer,Central,Finance,Alex Chen,At Risk,High,2026-09-25,2027-03-06,2027,Q1,Mar,1077703,1189585,40,85,33.581197,-118.259136
REC-0088,Asset Lifecycle Review 662,Digital,Central,Operations,Owen Davis,In Progress,Medium,2025-01-29,2025-10-01,2025,Q4,Oct,1714068,1079918,46,69,33.982287,-84.750786
REC-0089,Procurement Cycle Reduction 576,Digital,East,Operations,Avery Johnson,Completed,Critical,2025-05-18,2026-01-17,2026,Q1,Jan,2233584,1435406,90,31,40.913069,-74.459318
REC-0090,Data Quality Program 140,Compliance,South,Customer Success,Priya Shah,In Progress,Medium,2025-03-09,2025-05-12,2025,Q2,May,3480018,2782796,41,45,29.49406,-95.527193
REC-0091,Mobile Workflow 499,Finance,Central,Operations,Riley Patel,In Progress,Medium,2025-09-13,2026-01-04,2026,Q1,Jan,1465792,981770,71,65,47.248725,-121.910629
REC-0092,Data Quality Program 470,Compliance,West,Operations,Taylor Brooks,Completed,Medium,2025-04-23,2025-05-19,2025,Q2,May,2829021,2342597,95,11,47.948754,-122.625165
REC-0093,Inventory Accuracy 569,Digital,North,Facilities,Jamie Kim,Pending Review,Low,2025-10-29,2026-04-05,2026,Q2,Apr,144528,95231,84,37,34.039293,-118.329926
REC-0094,Mobile Workflow 340,Compliance,North,Operations,Jamie Kim,Pending Review,Low,2026-10-03,2027-01-11,2027,Q1,Jan,1321231,1299464,85,27,40.48244,-74.019831
REC-0095,Mobile Workflow 447,Customer,West,Procurement,Casey Nguyen,In Progress,Medium,2025-04-23,2025-11-11,2025,Q4,Nov,2702577,2385545,54,46,29.439916,-95.216148
REC-0096,Mobile Workflow 612,Customer,South,Legal,Priya Shah,Not Started,High,2025-11-20,2026-05-19,2026,Q2,May,2963539,1691838,11,69,25.793639,-80.029787
REC-0097,Mobile Workflow 234,Operations,Central,Facilities,Taylor Brooks,Completed,Medium,2025-01-04,2025-07-04,2025,Q3,Jul,2408269,2056440,94,7,30.09516,-95.162769
REC-0098,Service Response Improvement 299,Compliance,West,IT,Priya Shah,Completed,High,2026-08-26,2027-03-28,2027,Q1,Mar,1355142,1236991,92,31,47.319278,-122.214448
REC-0099,Process Standardization 186,Finance,West,Procurement,Alex Chen,In Progress,Medium,2025-10-02,2026-06-02,2026,Q2,Jun,1979005,1015213,20,57,41.488227,-87.98081
REC-0100,Data Quality Program 577,Digital,North,IT,Riley Patel,Completed,Low,2025-04-18,2026-01-26,2026,Q1,Jan,255534,160927,90,2,26.297258,-80.683767
REC-0101,Process Standardization 810,Supply Chain,South,HR,Casey Nguyen,Completed,Medium,2025-01-03,2025-04-14,2025,Q2,Apr,422413,202982,95,5,33.428413,-84.398072
REC-0102,Contract Renewal 149,Operations,East,IT,Nina Torres,In Progress,High,2026-08-07,2027-01-09,2027,Q1,Jan,855988,909298,48,45,39.811017,-105.36044
REC-0103,Revenue Leakage Review 921,Compliance,North,Finance,Jamie Kim,Completed,Medium,2026-02-12,2026-03-15,2026,Q1,Mar,2888003,2312479,90,14,47.685824,-121.796177
REC-0104,Mobile Workflow 239,Finance,South,Procurement,Riley Patel,Completed,Medium,2025-01-13,2025-06-07,2025,Q2,Jun,89277,48074,90,6,33.80189,-118.570446
REC-0105,Revenue Leakage Review 205,Operations,South,Analytics,Morgan Lee,In Progress,Low,2026-06-26,2026-08-11,2026,Q3,Aug,1070065,1087718,48,25,47.195509,-122.620791
REC-0106,Compliance Readiness 716,Finance,North,Facilities,Avery Johnson,At Risk,Medium,2026-11-09,2027-07-31,2027,Q3,Jul,490299,656575,72,73,40.732213,-74.092458
REC-0107,SLA Recovery Plan 270,Digital,South,Operations,Avery Johnson,Pending Review,Critical,2025-04-28,2025-06-19,2025,Q2,Jun,962360,691576,81,70,40.220898,-104.575508
REC-0108,Contract Renewal 212,Customer,West,HR,Riley Patel,In Progress,Medium,2025-03-11,2025-09-03,2025,Q3,Sep,2897656,1416699,29,44,39.550685,-104.925341
REC-0109,Training Rollout 391,Customer,East,Analytics,Jordan Smith,In Progress,Medium,2025-04-21,2025-10-01,2025,Q4,Oct,2334571,1430607,79,74,41.396478,-87.516147
REC-0110,Mobile Workflow 306,Supply Chain,East,IT,Morgan Lee,In Progress,Medium,2025-08-06,2026-03-14,2026,Q1,Mar,3269559,3294135,79,46,39.745732,-105.402291
REC-0111,Vendor Performance 652,Customer,East,Finance,Nina Torres,In Progress,Medium,2026-08-14,2026-12-02,2026,Q4,Dec,115555,73413,47,28,33.385054,-84.418863
REC-0112,Executive Reporting 634,Operations,North,HR,Taylor Brooks,Completed,Low,2025-01-03,2025-08-02,2025,Q3,Aug,213282,117728,94,12,39.894808,-105.352627
REC-0113,Process Standardization 733,Supply Chain,East,Finance,Sam Rivera,Not Started,High,2025-03-25,2025-09-05,2025,Q3,Sep,1846693,1674720,0,55,41.506592,-87.929238
REC-0114,Vendor Performance 777,Infrastructure,North,Operations,Jamie Kim,Completed,Medium,2026-06-16,2026-11-18,2026,Q4,Nov,964756,720773,91,21,47.076856,-122.376438
REC-0115,Operational Cost Reduction 390,Digital,West,Operations,Priya Shah,Completed,Medium,2026-02-18,2026-07-08,2026,Q3,Jul,1913489,1152403,93,1,26.236574,-80.561049
REC-0116,Inventory Accuracy 468,Compliance,Central,Analytics,Jamie Kim,In Progress,Medium,2026-09-10,2027-04-09,2027,Q2,Apr,717331,334125,29,25,47.788253,-122.769539
REC-0117,Compliance Readiness 198,Supply Chain,South,Finance,Avery Johnson,Pending Review,Medium,2025-08-07,2025-09-17,2025,Q3,Sep,691432,381363,87,67,30.184228,-94.941825
REC-0118,Compliance Readiness 746,Digital,Central,HR,Casey Nguyen,In Progress,High,2025-03-09,2025-06-01,2025,Q2,Jun,2944309,1678819,75,74,25.639108,-79.688496
REC-0119,Mobile Workflow 544,Operations,North,HR,Priya Shah,In Progress,Medium,2025-07-26,2026-03-26,2026,Q1,Mar,2414903,2154871,28,52,48.130857,-122.294634
REC-0120,Invoice Automation 196,Workforce,Central,IT,Avery Johnson,In Progress,Medium,2026-09-24,2027-02-14,2027,Q1,Feb,1072928,778245,71,53,48.013542,-122.487918
REC-0121,Revenue Leakage Review 892,Compliance,West,Analytics,Sam Rivera,In Progress,Medium,2025-04-14,2025-12-28,2025,Q4,Dec,3466417,2639110,80,56,30.276381,-95.557296
REC-0122,Workforce Planning 990,Infrastructure,Central,HR,Owen Davis,Completed,Critical,2026-08-09,2026-11-16,2026,Q4,Nov,3172318,3669634,97,25,30.286539,-94.914041
REC-0123,Risk Control Review 388,Digital,West,Operations,Owen Davis,Completed,Critical,2026-01-06,2026-05-20,2026,Q2,May,364301,383381,93,47,47.592995,-121.880087
REC-0124,Service Response Improvement 708,Supply Chain,Central,Procurement,Priya Shah,Completed,Medium,2025-09-25,2026-05-09,2026,Q2,May,2582877,1302805,96,9,48.074882,-122.697902
REC-0125,Mobile Workflow 303,Operations,East,Customer Success,Casey Nguyen,In Progress,Low,2025-10-07,2026-03-10,2026,Q1,Mar,2544362,2532844,22,47,40.858657,-74.265414
REC-0126,Customer Portal Upgrade 654,Workforce,Central,IT,Priya Shah,Completed,High,2026-04-02,2026-07-24,2026,Q3,Jul,859595,590729,92,21,30.054059,-95.073265
REC-0127,Data Quality Program 373,Customer,Central,Legal,Nina Torres,Completed,Medium,2025-08-24,2026-05-04,2026,Q2,May,319919,292578,90,8,33.978366,-117.930616
REC-0128,Data Quality Program 473,Finance,West,Legal,Jordan Smith,In Progress,Medium,2025-11-20,2026-05-15,2026,Q2,May,3362037,2258972,64,62,41.332016,-87.885083
REC-0129,Service Response Improvement 708,Finance,North,Procurement,Jordan Smith,Completed,Medium,2026-09-14,2027-04-02,2027,Q2,Apr,1389038,711810,97,37,40.48855,-74.386285
REC-0130,Revenue Leakage Review 499,Finance,East,IT,Avery Johnson,In Progress,High,2025-12-19,2026-08-18,2026,Q3,Aug,1366346,1430876,74,42,40.92597,-73.876126
REC-0131,Vendor Performance 818,Finance,West,Finance,Priya Shah,Completed,Medium,2025-06-08,2025-09-28,2025,Q3,Sep,116578,121589,91,15,33.907921,-84.196641
REC-0132,Mobile Workflow 279,Workforce,West,Operations,Morgan Lee,In Progress,High,2026-06-01,2026-07-18,2026,Q3,Jul,2535477,1960612,26,49,47.469704,-122.666601
REC-0133,Inventory Accuracy 579,Workforce,South,IT,Taylor Brooks,Completed,Medium,2025-11-28,2026-08-17,2026,Q3,Aug,3297485,2300479,91,23,33.699408,-84.864696
REC-0134,Workforce Planning 144,Digital,South,Finance,Riley Patel,Pending Review,Medium,2025-05-05,2025-06-13,2025,Q2,Jun,1251752,1118693,71,47,25.45449,-79.950768
REC-0135,Process Standardization 198,Customer,South,Procurement,Taylor Brooks,At Risk,Low,2025-10-06,2025-12-26,2025,Q4,Dec,1935546,1405063,50,78,41.823914,-87.943167
REC-0136,Risk Control Review 311,Compliance,East,IT,Avery Johnson,In Progress,Medium,2025-04-22,2025-08-25,2025,Q3,Aug,2599038,2449145,70,68,41.502019,-87.221665
REC-0137,Operational Cost Reduction 116,Operations,West,Procurement,Avery Johnson,In Progress,Medium,2025-11-03,2026-05-06,2026,Q2,May,1578232,854300,32,45,48.069697,-122.636011
REC-0138,Data Quality Program 107,Customer,South,Analytics,Nina Torres,In Progress,Low,2026-06-23,2026-09-08,2026,Q3,Sep,626439,300275,55,27,41.556524,-88.09922
REC-0139,Mobile Workflow 847,Finance,East,Customer Success,Taylor Brooks,In Progress,Low,2026-09-08,2026-12-02,2026,Q4,Dec,545690,286039,32,42,40.661705,-74.501115
REC-0140,Compliance Readiness 553,Infrastructure,Central,Customer Success,Casey Nguyen,Not Started,Medium,2025-07-08,2025-10-06,2025,Q4,Oct,1225939,798508,9,70,25.733758,-80.381887
REC-0141,Inventory Accuracy 292,Digital,Central,Operations,Morgan Lee,In Progress,Low,2025-03-09,2025-05-16,2025,Q2,May,2144452,2151538,75,84,42.290281,-88.121306
REC-0142,Contract Renewal 869,Customer,North,Analytics,Owen Davis,In Progress,Low,2026-02-28,2026-04-26,2026,Q2,Apr,2096659,973240,49,47,34.491506,-118.373286
REC-0143,Revenue Leakage Review 181,Infrastructure,West,Legal,Priya Shah,Completed,Critical,2025-09-19,2025-12-15,2025,Q4,Dec,2761460,1929609,95,33,33.826874,-118.64145
REC-0144,SLA Recovery Plan 175,Operations,South,IT,Sam Rivera,At Risk,Medium,2025-08-27,2026-03-29,2026,Q1,Mar,1948810,1835795,50,100,39.769532,-104.684396
REC-0145,Procurement Cycle Reduction 314,Workforce,Central,Customer Success,Morgan Lee,Completed,High,2025-12-09,2026-05-18,2026,Q2,May,187805,173640,91,32,34.122851,-84.21062
REC-0146,Service Response Improvement 205,Operations,West,Finance,Taylor Brooks,In Progress,Medium,2026-04-23,2026-11-14,2026,Q4,Nov,3151812,2106812,75,61,25.907912,-80.684826
REC-0147,Customer Portal Upgrade 182,Digital,Central,Procurement,Sam Rivera,Completed,High,2025-12-16,2026-04-10,2026,Q2,Apr,1923707,1913623,99,29,33.347117,-84.156682
REC-0148,Workforce Planning 308,Finance,Central,Facilities,Riley Patel,Completed,Low,2025-02-17,2025-04-26,2025,Q2,Apr,58216,56924,99,16,33.952679,-118.364025
REC-0149,Facility Modernization 951,Operations,West,Finance,Sam Rivera,Pending Review,Medium,2026-02-03,2026-09-26,2026,Q3,Sep,249070,121729,95,36,29.910472,-95.574157
REC-0150,Asset Lifecycle Review 645,Workforce,North,Procurement,Jamie Kim,Not Started,Low,2026-01-23,2026-03-19,2026,Q1,Mar,1140431,585435,12,55,39.645947,-104.526254
REC-0151,Process Standardization 765,Compliance,West,Customer Success,Jordan Smith,Completed,High,2026-06-04,2026-09-12,2026,Q3,Sep,1155782,789600,90,33,39.597805,-104.780806
