recordtype,recordid,date,month,monthorder,customer,product,category,channel,revenue,expense,tax,orderstatus,provider,dueamount,duedate,balance,dailyusers,newproducts
Order,ORD-1015,2026-07-16,Apr,4,Customer 16,Surface Studio,Accessories,Online,64507,12893,2288,Complete,,,,,,
Order,ORD-1016,2026-07-17,May,5,Customer 17,Travel Pack,Hardware,Retail,46486,20511,3051,Processing,,,,,,
Order,ORD-1017,2026-07-18,Jun,6,Customer 18,Smart Display,Software,Partner,53707,9308,2483,Pending,,,,,,
Order,ORD-1018,2026-07-19,Jul,7,Customer 19,Wireless Hub,Services,Online,30465,9453,5095,Complete,,,,,,
Order,ORD-1019,2026-07-20,Aug,8,Customer 20,Design Suite,Accessories,Retail,45894,16954,5550,Processing,,,,,,
Order,ORD-1020,2026-07-21,Sep,9,Customer 21,Surface Studio,Hardware,Partner,28606,8401,1267,Pending,,,,,,
Order,ORD-1021,2026-07-22,Oct,10,Customer 22,Travel Pack,Software,Online,45249,20835,4459,Complete,,,,,,
Order,ORD-1022,2026-07-23,Nov,11,Customer 23,Smart Display,Services,Retail,42629,11152,3843,Processing,,,,,,
Order,ORD-1023,2026-07-24,Dec,12,Customer 24,Wireless Hub,Accessories,Partner,38062,9938,5440,Pending,,,,,,
Order,ORD-1024,2026-07-25,Jan,1,Customer 25,Design Suite,Hardware,Online,21971,22075,4817,Complete,,,,,,
Order,ORD-1025,2026-07-26,Feb,2,Customer 26,Surface Studio,Software,Retail,41199,22550,3088,Processing,,,,,,
Order,ORD-1026,2026-07-27,Mar,3,Customer 27,Travel Pack,Services,Partner,33471,20362,4738,Pending,,,,,,
Order,ORD-1027,2026-07-28,Apr,4,Customer 28,Smart Display,Accessories,Online,40601,15600,5687,Complete,,,,,,
Order,ORD-1028,2026-07-01,May,5,Customer 29,Wireless Hub,Hardware,Retail,24721,20584,3958,Processing,,,,,,
Order,ORD-1029,2026-07-02,Jun,6,Customer 30,Design Suite,Software,Partner,60147,23985,3038,Pending,,,,,,
Order,ORD-1030,2026-07-03,Jul,7,Customer 31,Surface Studio,Services,Online,24156,10361,3523,Complete,,,,,,
Order,ORD-1031,2026-07-04,Aug,8,Customer 32,Travel Pack,Accessories,Retail,52338,19208,5030,Processing,,,,,,
Order,ORD-1032,2026-07-05,Sep,9,Customer 33,Smart Display,Hardware,Partner,60739,22256,2252,Pending,,,,,,
Order,ORD-1033,2026-07-06,Oct,10,Customer 34,Wireless Hub,Software,Online,33641,16588,3420,Complete,,,,,,
Order,ORD-1034,2026-07-07,Nov,11,Customer 35,Design Suite,Services,Retail,19969,20181,3082,Processing,,,,,,
Order,ORD-1035,2026-07-08,Dec,12,Customer 36,Surface Studio,Accessories,Partner,67894,20113,2259,Pending,,,,,,
Order,ORD-1036,2026-07-09,Jan,1,Customer 37,Travel Pack,Hardware,Online,54928,18757,4031,Complete,,,,,,
Order,ORD-1037,2026-07-10,Feb,2,Customer 38,Smart Display,Software,Retail,38496,20673,1459,Processing,,,,,,
Order,ORD-1038,2026-07-11,Mar,3,Customer 39,Wireless Hub,Services,Partner,29631,10350,3759,Pending,,,,,,
Order,ORD-1039,2026-07-12,Apr,4,Customer 40,Design Suite,Accessories,Online,49103,16195,2638,Complete,,,,,,
Order,ORD-1040,2026-07-13,May,5,Customer 41,Surface Studio,Hardware,Retail,45119,8982,2071,Processing,,,,,,
Order,ORD-1041,2026-07-14,Jun,6,Customer 42,Travel Pack,Software,Partner,64808,14053,5371,Pending,,,,,,
Order,ORD-1042,2026-07-15,Jul,7,Customer 43,Smart Display,Services,Online,38971,8210,5521,Complete,,,,,,
Order,ORD-1043,2026-07-16,Aug,8,Customer 44,Wireless Hub,Accessories,Retail,36232,14426,3407,Processing,,,,,,
Order,ORD-1044,2026-07-17,Sep,9,Customer 45,Design Suite,Hardware,Partner,34292,7379,1391,Pending,,,,,,
Order,ORD-1045,2026-07-18,Oct,10,Customer 46,Surface Studio,Software,Online,37115,18821,5486,Complete,,,,,,
Order,ORD-1046,2026-07-19,Nov,11,Customer 47,Travel Pack,Services,Retail,29122,12638,4434,Processing,,,,,,
Order,ORD-1047,2026-07-20,Dec,12,Customer 48,Smart Display,Accessories,Partner,56939,22239,4713,Pending,,,,,,
Order,ORD-1048,2026-07-21,Jan,1,Customer 49,Wireless Hub,Hardware,Online,47808,11778,3733,Complete,,,,,,
Order,ORD-1049,2026-07-22,Feb,2,Customer 50,Design Suite,Software,Retail,39139,15250,2253,Processing,,,,,,
Order,ORD-1050,2026-07-23,Mar,3,Customer 51,Surface Studio,Services,Partner,38451,14514,3101,Pending,,,,,,
Order,ORD-1051,2026-07-24,Apr,4,Customer 52,Travel Pack,Accessories,Online,23911,14950,3418,Complete,,,,,,
Order,ORD-1052,2026-07-25,May,5,Customer 53,Smart Display,Hardware,Retail,37322,10343,4402,Processing,,,,,,
Order,ORD-1053,2026-07-26,Jun,6,Customer 54,Wireless Hub,Software,Partner,29546,22286,1909,Pending,,,,,,
Order,ORD-1054,2026-07-27,Jul,7,Customer 55,Design Suite,Services,Online,20389,7795,1765,Complete,,,,,,
Order,ORD-1055,2026-07-28,Aug,8,Customer 56,Surface Studio,Accessories,Retail,33109,22933,4882,Processing,,,,,,
Order,ORD-1056,2026-07-01,Sep,9,Customer 57,Travel Pack,Hardware,Partner,66084,21719,4777,Pending,,,,,,
Order,ORD-1057,2026-07-02,Oct,10,Customer 58,Smart Display,Software,Online,65166,22590,4206,Complete,,,,,,
Order,ORD-1058,2026-07-03,Nov,11,Customer 59,Wireless Hub,Services,Retail,42367,14523,5487,Processing,,,,,,
Order,ORD-1059,2026-07-04,Dec,12,Customer 60,Design Suite,Accessories,Partner,31565,18779,3422,Pending,,,,,,
Order,ORD-1060,2026-07-05,Jan,1,Customer 61,Surface Studio,Hardware,Online,27305,22987,4419,Complete,,,,,,
Order,ORD-1061,2026-07-06,Feb,2,Customer 62,Travel Pack,Software,Retail,33106,8610,3219,Processing,,,,,,
Order,ORD-1062,2026-07-07,Mar,3,Customer 63,Smart Display,Services,Partner,32032,7611,2850,Pending,,,,,,
Order,ORD-1063,2026-07-08,Apr,4,Customer 64,Wireless Hub,Accessories,Online,20674,9147,4788,Complete,,,,,,
Order,ORD-1064,2026-07-09,May,5,Customer 65,Design Suite,Hardware,Retail,32269,20503,5318,Processing,,,,,,
Order,ORD-1065,2026-07-10,Jun,6,Customer 66,Surface Studio,Software,Partner,38193,16647,5390,Pending,,,,,,
Order,ORD-1066,2026-07-11,Jul,7,Customer 67,Travel Pack,Services,Online,57936,15767,3338,Complete,,,,,,
Order,ORD-1067,2026-07-12,Aug,8,Customer 68,Smart Display,Accessories,Retail,49901,20536,3119,Processing,,,,,,
Order,ORD-1068,2026-07-13,Sep,9,Customer 69,Wireless Hub,Hardware,Partner,69896,19231,3489,Pending,,,,,,
Order,ORD-1069,2026-07-14,Oct,10,Customer 70,Design Suite,Software,Online,57193,20384,2568,Complete,,,,,,
Order,ORD-1070,2026-07-15,Nov,11,Customer 71,Surface Studio,Services,Retail,64889,15383,5616,Processing,,,,,,
Order,ORD-1071,2026-07-16,Dec,12,Customer 72,Travel Pack,Accessories,Partner,48861,14685,1457,Pending,,,,,,
Order,ORD-1072,2026-07-17,Jan,1,Customer 73,Smart Display,Hardware,Online,48432,10650,2687,Complete,,,,,,
Order,ORD-1073,2026-07-18,Feb,2,Customer 74,Wireless Hub,Software,Retail,32227,9844,5458,Processing,,,,,,
Order,ORD-1074,2026-07-19,Mar,3,Customer 75,Design Suite,Services,Partner,25156,10733,4084,Pending,,,,,,
Order,ORD-1075,2026-07-20,Apr,4,Customer 76,Surface Studio,Accessories,Online,26693,7835,4042,Complete,,,,,,
Order,ORD-1076,2026-07-21,May,5,Customer 77,Travel Pack,Hardware,Retail,42950,13839,5197,Processing,,,,,,
Order,ORD-1077,2026-07-22,Jun,6,Customer 78,Smart Display,Software,Partner,28842,10252,5499,Pending,,,,,,
Order,ORD-1078,2026-07-23,Jul,7,Customer 79,Wireless Hub,Services,Online,23687,6340,2686,Complete,,,,,,
Order,ORD-1079,2026-07-24,Aug,8,Customer 80,Design Suite,Accessories,Retail,36678,6556,4207,Processing,,,,,,
Order,ORD-1080,2026-07-25,Sep,9,Customer 81,Surface Studio,Hardware,Partner,65360,10827,3239,Pending,,,,,,
Order,ORD-1081,2026-07-26,Oct,10,Customer 82,Travel Pack,Software,Online,45156,15763,4306,Complete,,,,,,
Order,ORD-1082,2026-07-27,Nov,11,Customer 83,Smart Display,Services,Retail,68579,11838,1616,Processing,,,,,,
Order,ORD-1083,2026-07-28,Dec,12,Customer 84,Wireless Hub,Accessories,Partner,45027,7372,1852,Pending,,,,,,
Payment,PAY-1,,,,,,,,,,,,Easy Pay Way,82258.23,2026-07-28,,,
Payment,PAY-2,,,,,,,,,,,,Payonner,61486.69,2026-07-30,,,
Payment,PAY-3,,,,,,,,,,,,FastSpring,4210.38,2026-08-02,,,
Payment,PAY-4,,,,,,,,,,,,Cloud Works,9630.15,2026-08-04,,,
