applicationid,applicationdate,weekday,weekdayorder,hourbucket,hourorder,candidate,gender,city,roleid,roletitle,department,stage,source,score,period,applicationcount
APP-0049,2026-07-07,Sun,7,14:00,14,Candidate 049,Female,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,LinkedIn,73,Current,1
APP-0050,2026-07-01,Mon,1,8:00,8,Candidate 050,Male,Denver,PM-225,Product Manager,Product,Applied,Referral,90,Current,1
APP-0051,2026-07-02,Tue,2,9:00,9,Candidate 051,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Shortlisted,Careers site,55,Current,1
APP-0052,2026-07-03,Wed,3,10:00,10,Candidate 052,Female,Chicago,DSN-104,UX/UI Designer,Design,Applied,Agency,85,Current,1
APP-0053,2026-07-04,Thu,4,11:00,11,Candidate 053,Male,Austin,OPS-310,Recruiting Operations Lead,People,Applied,LinkedIn,83,Current,1
APP-0054,2026-07-05,Fri,5,12:00,12,Candidate 054,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,Referral,87,Current,1
APP-0055,2026-07-06,Sat,6,13:00,13,Candidate 055,Female,Denver,PM-225,Product Manager,Product,Shortlisted,Careers site,62,Current,1
APP-0056,2026-07-07,Sun,7,14:00,14,Candidate 056,Male,New York,ENG-201,Senior Android Developer,Engineering,Shortlisted,Agency,88,Current,1
APP-0057,2026-07-01,Mon,1,8:00,8,Candidate 057,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Applied,LinkedIn,61,Current,1
APP-0058,2026-07-02,Tue,2,9:00,9,Candidate 058,Female,Austin,OPS-310,Recruiting Operations Lead,People,Shortlisted,Referral,75,Current,1
APP-0059,2026-07-03,Wed,3,10:00,10,Candidate 059,Male,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,Careers site,69,Current,1
APP-0060,2026-07-04,Thu,4,11:00,11,Candidate 060,Non-binary,Denver,PM-225,Product Manager,Product,Rejected,Agency,79,Current,1
APP-0061,2026-07-05,Fri,5,12:00,12,Candidate 061,Female,New York,ENG-201,Senior Android Developer,Engineering,Applied,LinkedIn,97,Current,1
APP-0062,2026-07-06,Sat,6,13:00,13,Candidate 062,Male,Chicago,DSN-104,UX/UI Designer,Design,Applied,Referral,77,Current,1
APP-0063,2026-07-07,Sun,7,14:00,14,Candidate 063,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Rejected,Careers site,75,Current,1
APP-0064,2026-07-01,Mon,1,8:00,8,Candidate 064,Female,Seattle,DAT-412,Analytics Engineer,Data,Applied,Agency,86,Current,1
APP-0065,2026-07-02,Tue,2,9:00,9,Candidate 065,Male,Denver,PM-225,Product Manager,Product,Applied,LinkedIn,95,Current,1
APP-0066,2026-07-03,Wed,3,10:00,10,Candidate 066,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Finalised,Referral,83,Current,1
APP-0067,2026-07-04,Thu,4,11:00,11,Candidate 067,Female,Chicago,DSN-104,UX/UI Designer,Design,Rejected,Careers site,72,Current,1
APP-0068,2026-07-05,Fri,5,12:00,12,Candidate 068,Male,Austin,OPS-310,Recruiting Operations Lead,People,On Hold,Agency,65,Current,1
APP-0069,2026-07-06,Sat,6,13:00,13,Candidate 069,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Applied,LinkedIn,62,Current,1
APP-0070,2026-07-07,Sun,7,14:00,14,Candidate 070,Female,Denver,PM-225,Product Manager,Product,Applied,Referral,74,Current,1
APP-0071,2026-07-01,Mon,1,8:00,8,Candidate 071,Male,New York,ENG-201,Senior Android Developer,Engineering,Applied,Careers site,74,Current,1
APP-0072,2026-07-02,Tue,2,9:00,9,Candidate 072,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Applied,Agency,87,Current,1
APP-0073,2026-07-03,Wed,3,10:00,10,Candidate 073,Female,Austin,OPS-310,Recruiting Operations Lead,People,Applied,LinkedIn,86,Current,1
APP-0074,2026-07-04,Thu,4,11:00,11,Candidate 074,Male,Seattle,DAT-412,Analytics Engineer,Data,Rejected,Referral,68,Current,1
APP-0075,2026-07-05,Fri,5,12:00,12,Candidate 075,Non-binary,Denver,PM-225,Product Manager,Product,Applied,Careers site,71,Current,1
APP-0076,2026-07-06,Sat,6,13:00,13,Candidate 076,Female,New York,ENG-201,Senior Android Developer,Engineering,Applied,Agency,94,Current,1
APP-0077,2026-07-07,Sun,7,14:00,14,Candidate 077,Male,Chicago,DSN-104,UX/UI Designer,Design,Shortlisted,LinkedIn,97,Current,1
APP-0078,2026-07-01,Mon,1,8:00,8,Candidate 078,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Shortlisted,Referral,68,Current,1
APP-0079,2026-07-02,Tue,2,9:00,9,Candidate 079,Female,Seattle,DAT-412,Analytics Engineer,Data,Rejected,Careers site,59,Current,1
APP-0080,2026-07-03,Wed,3,10:00,10,Candidate 080,Male,Denver,PM-225,Product Manager,Product,Rejected,Agency,91,Current,1
APP-0081,2026-07-04,Thu,4,11:00,11,Candidate 081,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Applied,LinkedIn,70,Previous,1
APP-0082,2026-07-05,Fri,5,12:00,12,Candidate 082,Female,Chicago,DSN-104,UX/UI Designer,Design,Shortlisted,Referral,66,Previous,1
APP-0083,2026-07-06,Sat,6,13:00,13,Candidate 083,Male,Austin,OPS-310,Recruiting Operations Lead,People,Shortlisted,Careers site,92,Previous,1
APP-0084,2026-07-07,Sun,7,14:00,14,Candidate 084,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,Agency,88,Previous,1
APP-0085,2026-07-01,Mon,1,8:00,8,Candidate 085,Female,Denver,PM-225,Product Manager,Product,Shortlisted,LinkedIn,64,Previous,1
APP-0086,2026-07-02,Tue,2,9:00,9,Candidate 086,Male,New York,ENG-201,Senior Android Developer,Engineering,Applied,Referral,81,Previous,1
APP-0087,2026-07-03,Wed,3,10:00,10,Candidate 087,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Applied,Careers site,95,Previous,1
APP-0088,2026-07-04,Thu,4,11:00,11,Candidate 088,Female,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Agency,71,Previous,1
APP-0089,2026-07-05,Fri,5,12:00,12,Candidate 089,Male,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,LinkedIn,74,Previous,1
APP-0090,2026-07-06,Sat,6,13:00,13,Candidate 090,Non-binary,Denver,PM-225,Product Manager,Product,Applied,Referral,86,Previous,1
APP-0091,2026-07-07,Sun,7,14:00,14,Candidate 091,Female,New York,ENG-201,Senior Android Developer,Engineering,Rejected,Careers site,95,Previous,1
APP-0092,2026-07-01,Mon,1,8:00,8,Candidate 092,Male,Chicago,DSN-104,UX/UI Designer,Design,Applied,Agency,88,Previous,1
APP-0093,2026-07-02,Tue,2,9:00,9,Candidate 093,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Shortlisted,LinkedIn,69,Previous,1
APP-0094,2026-07-03,Wed,3,10:00,10,Candidate 094,Female,Seattle,DAT-412,Analytics Engineer,Data,On Hold,Referral,94,Previous,1
APP-0095,2026-07-04,Thu,4,11:00,11,Candidate 095,Male,Denver,PM-225,Product Manager,Product,Rejected,Careers site,91,Previous,1
APP-0096,2026-07-05,Fri,5,12:00,12,Candidate 096,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Applied,Agency,88,Previous,1
